"Kod";"Nazwa";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2005;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2006;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2007;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2008;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2009;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2010;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2011;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2012;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2013;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2014;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2015;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2016;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2017;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2018;[m2]";"rok;budynki niemieszkalne ogółem (PKOB od 1211 do 1274);ogółem;powierzchnia użytkowa;2019;[m2]";
0617000;"Powiat świdnicki";14097;20856;17830;8119;11032;24173;25756;31255;12729;9321;16218;9744;17912;10106;;
0618000;"Powiat tomaszowski";15976;6485;11040;12623;1383;6107;10761;24955;12508;7328;13818;16815;6043;11379;;
0619000;"Powiat włodawski";3198;9022;8354;4767;2052;4087;12200;12520;7964;17906;14520;5526;8845;13844;;
0620000;"Powiat zamojski";13130;10542;36300;10588;13349;20211;20720;18414;13094;23046;12457;27957;3011;4938;;
0661000;"Powiat m.Biała Podlaska";19519;7367;19405;31051;13426;18580;10399;9902;26707;40581;22399;8310;17706;13629;;
0662000;"Powiat m.Chełm";7738;9501;11581;11050;29239;7409;6733;8193;10168;14807;14280;16498;15922;6869;;
0663000;"Powiat m.Lublin";103699;113953;101496;68037;126746;84405;119234;118896;95316;293748;258901;114098;277546;117649;;
0664000;"Powiat m.Zamość";10845;22522;16051;6161;10865;17073;48289;13053;8862;15649;16611;20798;22403;6683;;
0801000;"Powiat gorzowski";18987;48252;50545;88148;42016;184159;113730;43129;19040;37415;46372;67375;22062;54380;;
0802000;"Powiat krośnieński";14401;9549;16746;5763;9045;16272;9016;6968;4581;10390;18988;6670;10619;79667;;
0803000;"Powiat międzyrzecki";7845;10714;30204;9590;13302;18393;24243;21004;24567;16617;16649;24632;4445;8344;;
0804000;"Powiat nowosolski";37989;18991;47498;48831;56667;38484;39443;42436;23298;34712;57388;58420;73118;35100;;
0805000;"Powiat słubicki";17169;7232;15282;34823;17706;185447;6352;9933;9734;18729;33281;11859;26277;47378;;
0806000;"Powiat strzelecko-drezdenecki";25115;23467;9047;3718;7745;10004;7976;7137;4628;8667;8696;6330;10338;8104;;
0807000;"Powiat sulęciński";5634;3952;9601;3528;7974;12689;14105;14216;5162;7834;11444;37714;2640;59089;;
0808000;"Powiat świebodziński";87775;15498;39301;27412;20523;19348;34814;27506;15708;9275;19858;31055;12554;84850;;
0809000;"Powiat zielonogórski";14700;32125;50099;23623;47833;41135;18887;32667;49006;48795;31095;84312;27677;18910;;
0810000;"Powiat żagański";16658;18194;38952;20657;8718;21772;34571;17667;14707;24243;9372;17755;18730;19106;;
0811000;"Powiat żarski";18837;27317;37916;14454;61238;38087;19300;18191;22793;25879;28700;26546;29039;22991;;
0812000;"Powiat wschowski";29342;10569;11357;8022;20269;11789;9936;17680;12425;18245;39524;23261;3897;10909;;
0861000;"Powiat m.Gorzów Wielkopolski";21425;14479;50425;80173;49088;21626;104824;44115;41300;10364;55489;15092;49938;74563;;
0862000;"Powiat m.Zielona Góra";24348;35939;0;142118;24400;56033;37995;35439;20589;23096;34150;33546;88445;759;;
1001000;"Powiat bełchatowski";28496;29885;5238;5345;4331;4427;3463;5037;4923;4364;3957;7172;5042;4171;;
1002000;"Powiat kutnowski";63721;43592;44724;38751;66043;80456;43951;90066;56848;63389;122333;87340;48699;25687;;
1003000;"Powiat łaski";16592;9729;8361;20848;5920;14281;10549;15188;21144;26396;29277;8437;16548;10105;;
1004000;"Powiat łęczycki";14149;31061;24364;8674;17670;12328;15058;20469;9066;16622;19568;29509;24392;9353;;
1005000;"Powiat łowicki";17319;27178;20883;22049;22078;17226;25497;26674;25736;35659;24880;24821;15872;42038;;
1006000;"Powiat łódzki wschodni";1365;1917;10181;3908;3028;3223;27465;57486;28749;7503;7044;5431;5501;4313;;
1007000;"Powiat opoczyński";16972;18034;20132;29888;13536;21867;53478;31495;28110;25575;68767;26816;24445;31364;;
1008000;"Powiat pabianicki";25096;40684;34718;36468;57692;39491;34048;40719;48301;41194;51964;31674;20853;23462;;
1009000;"Powiat pajęczański";10347;8233;10945;14131;14563;11993;25593;19518;9279;7128;17935;11841;23368;18315;;
1010000;"Powiat piotrkowski";18926;74523;155719;39303;47832;43180;69688;34705;28558;73282;31964;54989;182269;42915;;
1011000;"Powiat poddębicki";4984;6518;10758;5423;38853;8606;25625;22665;23129;22609;9824;90312;33754;20093;;
1012000;"Powiat radomszczański";22577;63627;35286;113546;73859;61003;26311;77334;20816;51422;38634;82170;27451;59697;;
1013000;"Powiat rawski";4898;29150;79696;19292;48279;62553;30681;60914;25450;66494;29604;53821;24436;20425;;
1014000;"Powiat sieradzki";12746;1206;9264;17068;21947;31912;52027;63212;32882;86335;100511;69863;49515;76797;;
1015000;"Powiat skierniewicki";11424;8741;11033;9414;11830;8614;19637;15724;17274;15523;26734;15746;19465;16416;;
1016000;"Powiat tomaszowski";18364;41299;25236;68555;108043;23234;33395;58973;33524;54764;51921;64754;49130;34770;;
1017000;"Powiat wieluński";6544;24234;17533;32179;21212;15816;17643;33768;17246;20072;23363;16451;33351;43325;;
1018000;"Powiat wieruszowski";9983;18391;15096;8382;15354;14860;11518;12832;7113;16162;19474;13686;21298;20205;;
1019000;"Powiat zduńskowolski";5913;11571;40224;19819;24517;18583;25984;13827;26471;18715;19218;21596;10206;8957;;
1020000;"Powiat zgierski";75972;89472;96699;113708;167199;140555;77478;74114;60540;122809;70343;153240;198346;204174;;
1021000;"Powiat brzeziński";6210;14558;9726;9121;7911;14895;1875;8070;10952;4563;14209;13979;3111;7834;;
1061000;"Powiat m.Łódź";116348;127146;208863;227445;202628;124444;119954;199645;279992;248643;296797;292733;266527;360253;;
1062000;"Powiat m.Piotrków Trybunalski";60428;103307;58093;110306;123846;49160;28299;25602;15080;36456;16743;20991;12893;19592;;
1063000;"Powiat m.Skierniewice";11743;12371;9618;15450;12217;7924;8780;5741;5528;15580;10117;10025;18894;7910;;
1201000;"Powiat bocheński";24954;14551;44674;30040;32308;40162;37293;28225;29347;51812;49901;67898;15742;105328;;
1202000;"Powiat brzeski";14921;15172;49267;24506;18601;27709;16156;25645;11336;32227;42426;8464;21211;54946;;
1203000;"Powiat chrzanowski";22699;29035;16497;18284;18591;17744;19217;16491;17037;19603;48091;15395;13581;31920;;
1204000;"Powiat dąbrowski";2287;10184;9225;6483;7059;7160;12780;14559;15264;23227;13366;9967;6797;5993;;
1205000;"Powiat gorlicki";12808;14597;13549;14082;18359;17867;27641;21787;17419;23445;22830;16595;15766;15583;;
1206000;"Powiat krakowski";7070;52493;108455;81373;88535;75405;8020;76025;16811;129305;165799;139517;159165;80010;;
1207000;"Powiat limanowski";18150;17792;30756;35310;36236;26627;29930;31550;20834;39039;35215;48025;29903;30681;;
1208000;"Powiat miechowski";5282;2540;2835;5390;5902;12139;13399;13517;13367;10286;8395;3771;5762;13326;;
1209000;"Powiat myślenicki";32067;37056;35947;36022;39728;36884;42024;28693;32075;53012;52148;57919;40530;36529;;
1210000;"Powiat nowosądecki";15859;71253;84559;38248;17916;46485;32471;84175;39999;69762;25275;5803;22923;3677;;
1211000;"Powiat nowotarski";24492;24510;39695;20781;45434;39306;42411;44007;35600;55807;71102;52617;36183;67799;;
1212000;"Powiat olkuski";19420;18413;48931;29398;11783;31598;23307;20922;38130;36001;22476;32086;66074;28155;;
