"Kod";"Nazwa";"sektor prywatny - ogółem;2003;[-]";"sektor prywatny - ogółem;2004;[-]";"sektor prywatny - ogółem;2005;[-]";"sektor prywatny - ogółem;2006;[-]";"sektor prywatny - ogółem;2007;[-]";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
1432000;"Powiat warszawski zachodni";736;704;811;980;966;1054;1077;1566;1334;1388;1342;1356;1183;1133;1166;1346;
1433000;"Powiat węgrowski";305;290;299;368;374;421;464;587;437;425;475;457;408;359;378;461;
1434000;"Powiat wołomiński";1404;1360;1466;1759;1854;1969;2034;2977;2439;2508;2659;2519;2348;2209;2455;2754;
1435000;"Powiat wyszkowski";403;335;376;471;492;549;524;683;567;587;593;602;506;420;464;589;
1436000;"Powiat zwoleński";142;115;146;168;170;183;164;211;203;207;213;214;178;194;235;220;
1437000;"Powiat żuromiński";216;171;217;277;276;296;326;423;293;295;296;261;258;233;210;262;
1438000;"Powiat żyrardowski";417;410;413;481;479;573;563;780;577;591;623;678;601;557;555;640;
1461000;"Powiat m.Ostrołęka";413;389;472;454;443;468;469;571;515;494;567;503;479;420;390;455;
1462000;"Powiat m.Płock";1087;992;1131;1212;1130;1172;1325;1317;1037;1268;1194;1099;986;908;919;921;
1463000;"Powiat m.Radom";1768;1634;1883;2070;1994;2204;2411;2548;2302;2261;2332;2230;2052;1754;1783;1914;
1464000;"Powiat m.Siedlce";590;525;581;667;728;757;785;863;731;761;826;713;595;576;615;737;
1465000;"Powiat m. st. Warszawa";17170;17590;18466;21879;22094;22133;22858;29595;26693;29151;32565;31452;23019;22650;23445;25939;
1601000;"Powiat brzeski";517;523;542;599;628;758;834;897;698;689;818;752;665;596;637;674;
1602000;"Powiat głubczycki";223;192;198;257;251;334;283;340;265;273;273;266;250;210;235;286;
1603000;"Powiat kędzierzyńsko-kozielski";545;427;467;521;490;549;668;807;624;637;569;542;548;435;424;484;
1604000;"Powiat kluczborski";376;341;316;374;320;413;524;505;391;422;448;374;364;311;332;415;
1605000;"Powiat krapkowicki";238;232;274;297;261;342;356;385;333;308;330;324;290;242;269;279;
1606000;"Powiat namysłowski";232;187;225;246;266;294;356;360;244;347;368;323;297;257;281;369;
1607000;"Powiat nyski";761;722;812;920;926;1084;1033;1208;961;1065;1137;975;907;772;936;1032;
1608000;"Powiat oleski";267;257;309;322;366;359;439;487;430;387;409;407;343;329;360;453;
1609000;"Powiat opolski";494;553;591;641;674;784;904;1015;916;763;885;865;784;752;738;856;
1610000;"Powiat prudnicki";230;226;252;283;266;342;406;366;305;303;331;300;303;280;224;286;
1611000;"Powiat strzelecki";221;219;249;268;281;343;436;486;388;314;339;340;275;304;270;316;
1661000;"Powiat m.Opole";990;978;977;1133;1069;1177;1475;1593;1273;1258;1425;1297;1053;1032;1089;1086;
1801000;"Powiat bieszczadzki";141;117;140;173;157;167;215;252;198;201;205;193;160;156;174;209;
1802000;"Powiat brzozowski";348;251;271;368;333;375;438;500;445;401;441;399;421;390;448;484;
1803000;"Powiat dębicki";653;608;682;780;716;734;841;987;839;891;932;859;825;776;815;862;
1804000;"Powiat jarosławski";479;487;478;545;534;570;709;754;634;678;681;707;660;641;742;737;
1805000;"Powiat jasielski";542;548;574;598;569;645;733;832;725;774;785;735;709;719;837;845;
1806000;"Powiat kolbuszowski";251;161;187;241;226;289;372;421;290;319;351;360;309;326;365;415;
1807000;"Powiat krośnieński";441;422;406;524;531;604;593;737;655;639;682;691;629;578;639;751;
1808000;"Powiat leżajski";256;193;226;284;321;356;378;457;409;359;420;434;360;358;335;457;
1809000;"Powiat lubaczowski";186;167;148;245;192;241;278;333;315;296;307;318;242;305;304;431;
1810000;"Powiat łańcucki";344;306;335;448;429;410;456;615;545;538;573;562;508;481;483;567;
1811000;"Powiat mielecki";477;439;509;567;644;640;914;866;747;806;878;758;705;821;845;857;
1812000;"Powiat niżański";199;177;205;256;260;304;362;390;325;349;359;360;369;335;334;476;
1813000;"Powiat przemyski";241;197;219;260;253;298;348;385;373;365;427;389;369;371;411;479;
1814000;"Powiat przeworski";272;208;212;291;274;310;394;446;389;472;390;420;400;397;399;485;
1815000;"Powiat ropczycko-sędziszowski";296;211;285;349;315;357;474;526;428;457;479;469;474;468;484;508;
1816000;"Powiat rzeszowski";757;643;744;916;867;839;1022;1089;983;996;1104;1057;966;918;1152;1178;
1817000;"Powiat sanocki";491;387;457;509;507;496;646;734;621;555;597;605;518;452;585;583;
1818000;"Powiat stalowowolski";437;445;521;506;599;551;759;820;680;695;705;670;548;547;521;637;
1819000;"Powiat strzyżowski";301;233;225;317;254;265;317;419;330;342;414;401;375;356;347;436;
1820000;"Powiat tarnobrzeski";215;153;196;251;212;238;298;342;301;210;245;268;230;217;239;313;
1821000;"Powiat leski";154;154;177;178;157;206;246;259;270;254;305;295;208;262;281;325;
1861000;"Powiat m.Krosno";313;337;342;424;356;398;482;516;388;425;440;426;348;290;398;302;
1862000;"Powiat m.Przemyśl";467;363;405;456;427;453;566;519;435;501;515;480;405;414;404;422;
1863000;"Powiat m.Rzeszów";1244;1174;1219;1440;1479;1577;1919;2065;1917;2026;2634;2626;1610;1572;1816;1675;
1864000;"Powiat m.Tarnobrzeg";305;278;284;317;317;308;361;457;422;386;353;294;273;236;317;316;
2001000;"Powiat augustowski";292;280;345;370;374;371;421;486;363;472;386;429;372;320;385;383;
2002000;"Powiat białostocki";622;579;742;791;796;961;1148;1256;1165;1222;1150;1259;1074;1003;1093;1275;
2003000;"Powiat bielski";313;206;267;245;253;274;318;355;336;301;299;302;244;254;293;344;
2004000;"Powiat grajewski";217;174;215;231;255;237;275;332;254;298;325;315;290;262;263;307;
2005000;"Powiat hajnowski";220;188;198;209;204;237;260;274;270;227;219;253;197;171;213;216;
2006000;"Powiat kolneński";135;80;132;138;144;152;158;211;159;231;209;265;170;174;172;234;
2007000;"Powiat łomżyński";211;153;185;239;211;242;276;323;294;260;290;301;218;231;277;344;
2008000;"Powiat moniecki";141;92;115;168;152;184;233;237;214;224;213;195;194;220;221;248;
2009000;"Powiat sejneński";80;80;84;109;103;97;117;145;105;121;121;166;101;103;131;127;
2010000;"Powiat siemiatycki";168;151;159;194;158;205;215;261;192;226;194;238;230;192;217;275;
2011000;"Powiat sokólski";314;259;257;294;257;351;310;353;322;338;294;350;306;271;348;345;
2012000;"Powiat suwalski";109;93;101;126;114;147;181;224;165;182;185;225;171;151;193;211;
2013000;"Powiat wysokomazowiecki";241;186;242;300;275;259;287;379;335;290;287;344;295;249;244;321;
2014000;"Powiat zambrowski";422;298;513;666;237;262;291;311;283;320;270;263;253;237;245;315;
2061000;"Powiat m.Białystok";1994;1987;2370;2486;2474;2843;3193;3558;3226;3378;3114;3104;2667;2496;2561;2995;
2062000;"Powiat m.Łomża";415;357;485;518;497;509;616;654;497;574;582;513;454;420;421;489;
2063000;"Powiat m.Suwałki";500;470;563;541;493;565;600;705;622;627;594;589;479;493;508;609;
2201000;"Powiat bytowski";361;365;563;606;553;531;551;701;583;550;599;680;599;617;706;675;
2202000;"Powiat chojnicki";546;463;595;754;771;843;802;922;844;803;798;804;772;605;743;816;
2203000;"Powiat człuchowski";262;248;318;418;401;405;379;461;402;393;412;425;352;339;412;425;
2204000;"Powiat gdański";641;609;727;978;884;1007;1033;1283;1241;1234;1245;1288;1246;1227;1359;1447;
2205000;"Powiat kartuski";574;533;783;938;1084;1083;1064;1251;1161;1234;1263;1448;1240;1278;1387;1580;
2206000;"Powiat kościerski";346;318;461;571;613;699;649;656;611;560;640;677;696;582;647;737;
2207000;"Powiat kwidzyński";441;348;476;474;450;569;596;700;542;564;580;535;512;425;555;604;
2208000;"Powiat lęborski";504;429;544;669;625;672;678;800;737;737;761;737;692;721;726;755;
2209000;"Powiat malborski";423;388;447;480;461;509;583;705;599;565;596;655;551;518;566;521;
2210000;"Powiat nowodworski";316;316;419;421;408;471;499;539;518;488;518;501;476;496;591;596;
2211000;"Powiat pucki";853;686;814;866;2608;2776;2213;1481;1645;1710;1712;1589;1325;1201;1223;1254;
2212000;"Powiat słupski";553;470;548;639;575;658;718;893;782;759;888;804;690;754;861;940;
2213000;"Powiat starogardzki";735;544;750;957;853;990;935;1001;866;974;965;973;989;906;917;1042;
2214000;"Powiat tczewski";713;620;764;850;843;965;1025;1021;856;908;941;1027;991;829;888;1024;
2215000;"Powiat wejherowski";1225;1238;1511;1866;2025;2099;2106;2519;2340;2498;2403;2456;2476;2345;2523;2648;
2216000;"Powiat sztumski";235;222;277;319;287;331;257;392;297;256;331;276;282;235;284;374;
2261000;"Powiat m.Gdańsk";3850;3703;4348;5000;4980;5258;5679;6249;5665;5799;6067;6164;5758;5362;5807;6039;
2262000;"Powiat m.Gdynia";2297;2098;2517;2824;2792;2931;3405;3865;3357;3528;3466;3345;3126;2871;2974;3138;
2263000;"Powiat m.Słupsk";777;629;820;820;814;880;1062;1137;953;874;953;813;758;710;729;781;
2264000;"Powiat m.Sopot";429;437;489;503;498;566;628;678;594;563;571;558;478;419;529;504;
