"Kod";"Nazwa";"ogółem;2002;[zł]";"ogółem;2003;[zł]";"ogółem;2004;[zł]";"ogółem;2005;[zł]";"ogółem;2006;[zł]";"ogółem;2007;[zł]";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
0861000;"Powiat m.Gorzów Wielkopolski";2008,87;2047,51;2135,61;2212,65;2319,81;2492,60;2763,15;2921,21;3014,26;3091,83;3197,03;3313,03;3432,87;3532,91;3670,29;3934,20;;
0862000;"Powiat m.Zielona Góra";2181,97;2286,63;2369,60;2468,95;2586,19;2767,01;2908,94;3060,42;3138,35;3247,30;3351,95;3363,53;3578,27;3731,67;3919,96;4173,04;;
1001000;"Powiat bełchatowski";2970,31;3019,04;3291,46;3133,78;3222,41;3415,66;3745,53;3958,40;4628,24;4940,22;5244,60;5512,35;5578,37;5791,89;5778,97;5926,37;;
1002000;"Powiat kutnowski";1874,25;1924,06;2036,36;2103,56;2127,10;2356,15;2553,09;2748,82;2871,15;3027,99;3179,27;3265,05;3396,11;3553,67;3685,59;3946,40;;
1003000;"Powiat łaski";1639,84;1703,00;1726,31;1780,05;1818,77;1974,65;2216,28;2340,75;2481,94;2572,43;2656,34;2749,14;2843,66;2954,03;3041,80;3227,11;;
1004000;"Powiat łęczycki";1766,80;1919,81;1965,28;2052,22;2186,67;2347,22;2688,12;2828,64;2893,63;3071,35;3216,88;3425,90;3532,14;3582,28;3725,91;3885,89;;
1005000;"Powiat łowicki";1797,06;1849,03;1939,86;1998,33;2068,80;2216,80;2386,89;2582,14;2718,68;2845,87;2947,82;3121,34;3201,38;3247,31;3337,54;3534,91;;
1006000;"Powiat łódzki wschodni";1647,74;1762,31;1791,79;1836,05;1939,69;2126,36;2303,11;2447,97;2554,12;2677,69;2689,61;2796,04;2951,68;3118,38;3256,75;3463,82;;
1007000;"Powiat opoczyński";1951,86;1934,61;2020,22;2095,33;2154,67;2304,53;2494,48;2438,50;2650,06;2856,43;2930,75;3004,95;3087,19;3174,36;3263,60;3427,90;;
1008000;"Powiat pabianicki";1763,97;1857,39;1913,13;1980,37;2045,07;2158,65;2430,88;2519,87;2622,52;2812,11;2920,50;3094,69;3189,30;3402,55;3539,63;3778,57;;
1009000;"Powiat pajęczański";1797,49;1876,58;1932,39;2006,22;2226,46;2369,57;2620,17;2817,42;2950,74;3061,69;3107,48;3227,39;3339,61;3429,55;3530,89;3672,03;;
1010000;"Powiat piotrkowski";1583,62;1633,99;1656,89;1680,07;1771,10;1915,05;2228,74;2346,40;2463,77;2651,98;2804,34;2886,28;2957,04;3058,72;3196,29;3436,14;;
1011000;"Powiat poddębicki";1619,07;1730,05;1791,63;1870,70;1999,19;2257,29;2717,44;2908,49;3087,08;3294,65;3498,97;3690,42;3743,12;3900,35;4094,44;4387,98;;
1012000;"Powiat radomszczański";1661,01;1648,68;1678,78;1734,71;1804,39;1948,95;2182,42;2362,69;2470,64;2631,03;2727,27;2838,40;2994,84;3088,13;3220,16;3406,71;;
1013000;"Powiat rawski";1622,62;1703,80;1795,62;1836,87;1999,61;2197,43;2451,01;2664,06;2797,21;2908,69;3000,63;3058,13;3168,26;3304,09;3366,71;3561,95;;
1014000;"Powiat sieradzki";1784,81;1839,17;1885,54;1932,30;2025,48;2230,79;2492,09;2633,64;2766,04;2895,40;3004,55;3082,99;3205,91;3297,51;3453,10;3648,13;;
1015000;"Powiat skierniewicki";1845,09;1944,84;2020,66;2007,40;2141,30;2249,45;2487,44;2513,53;2651,10;2725,69;2850,60;2964,68;3167,86;3301,35;3467,73;3612,61;;
1016000;"Powiat tomaszowski";1693,06;1769,00;1837,38;1915,00;2006,06;2131,36;2386,32;2526,55;2745,64;2823,87;2955,16;3009,61;3094,40;3258,86;3295,07;3554,59;;
1017000;"Powiat wieluński";1595,23;1646,06;1730,84;1777,06;1847,60;2027,69;2276,32;2361,93;2458,98;2576,71;2778,75;2987,22;3148,95;3252,66;3383,38;3640,03;;
1018000;"Powiat wieruszowski";1604,22;1698,86;1730,61;1753,18;1976,28;2112,16;2307,55;2361,88;2460,96;2538,28;2620,86;2722,07;2797,73;2976,04;3094,11;3267,25;;
1019000;"Powiat zduńskowolski";1759,22;1760,49;1823,30;1902,37;1990,10;2185,13;2411,23;2536,23;2683,69;2788,39;2832,65;2986,98;3051,23;3146,61;3271,45;3533,99;;
1020000;"Powiat zgierski";1733,35;1827,59;1927,38;1977,92;2135,01;2333,99;2661,35;2743,16;2870,60;3100,15;3222,12;3301,43;3389,26;3573,69;3737,14;4017,73;;
1021000;"Powiat brzeziński";1521,95;1597,31;1659,85;1666,97;1705,66;1832,80;1992,51;2163,93;2379,47;2440,72;2559,61;2607,32;2647,73;2748,42;2901,50;3071,31;;
1061000;"Powiat m.Łódź";2102,42;2164,79;2293,67;2401,67;2500,84;2698,09;3002,12;3159,24;3243,15;3427,06;3568,84;3710,91;3837,47;4047,78;4230,12;4462,50;;
1062000;"Powiat m.Piotrków Trybunalski";1632,58;1657,79;1694,80;1779,12;1904,33;2038,83;2236,07;2357,31;2460,57;2577,18;2741,58;2769,22;2952,79;3107,13;3229,18;3446,86;;
1063000;"Powiat m.Skierniewice";1937,81;1986,44;1965,72;2039,59;2111,22;2328,45;2419,72;2584,82;2799,96;2916,61;2895,44;3082,48;3151,06;3218,53;3437,05;3598,89;;
1201000;"Powiat bocheński";1880,68;1933,21;1987,96;2016,51;2173,19;2421,74;2630,43;2832,06;2935,34;3128,68;3208,34;3230,64;3359,59;3464,39;3606,23;3783,80;;
1202000;"Powiat brzeski";1730,90;1731,69;1751,31;1772,00;1911,49;2128,84;2347,56;2461,69;2630,04;2707,98;2821,76;2928,51;3048,33;3171,11;3237,03;3446,38;;
1203000;"Powiat chrzanowski";2069,07;2144,55;2384,20;2396,30;2405,30;2617,17;2851,66;3094,20;2972,52;3122,27;3181,66;3323,83;3455,97;3554,03;3710,34;3878,27;;
1204000;"Powiat dąbrowski";1674,56;1753,77;1855,99;1924,69;2026,81;2245,98;2464,33;2573,42;2704,29;2829,59;2970,50;3054,85;3178,77;3245,29;3386,45;3652,45;;
1205000;"Powiat gorlicki";1770,23;1850,82;1929,02;1987,92;2124,38;2301,68;2492,53;2571,71;2632,27;2726,96;2847,79;2920,54;2952,40;3060,43;3178,84;3430,00;;
1206000;"Powiat krakowski";2031,24;2100,14;2168,07;2276,79;2397,00;2653,06;2867,13;3013,31;3195,30;3377,70;3571,36;3759,07;3856,94;4204,13;4509,18;4858,15;;
1207000;"Powiat limanowski";1684,85;1768,68;1806,21;1896,84;1980,07;2196,12;2374,83;2539,87;2604,64;2764,04;2865,98;2994,25;3115,85;3167,23;3259,44;3438,40;;
1208000;"Powiat miechowski";1748,93;1809,90;1878,94;1968,69;2069,18;2247,95;2449,56;2629,31;2781,90;2833,95;2924,58;2983,24;3094,46;3189,73;3249,28;3436,12;;
1209000;"Powiat myślenicki";2139,59;2098,57;2147,87;2147,03;2061,55;2276,79;2501,46;2605,31;2752,84;2783,41;2799,36;2917,16;3003,06;3094,21;3477,49;3745,92;;
1210000;"Powiat nowosądecki";1733,30;1819,72;1873,52;1973,12;2056,56;2208,91;2377,06;2511,79;2610,04;2753,73;2810,22;2871,55;2989,86;3142,18;3240,29;3396,14;;
1211000;"Powiat nowotarski";1721,11;1757,52;1799,17;1884,28;1934,99;2083,00;2335,60;2494,10;2562,74;2683,81;2784,19;2882,17;3039,93;3121,96;3190,67;3400,75;;
1212000;"Powiat olkuski";2043,78;2155,70;2293,32;2402,38;2595,01;2807,99;2973,36;3071,36;3235,07;3347,82;3458,08;3546,79;3664,13;3731,21;3866,38;4139,68;;
1213000;"Powiat oświęcimski";1949,40;2012,33;2094,14;2147,74;2319,58;2521,57;2754,20;2850,30;2964,89;3130,75;3229,65;3386,14;3541,48;3677,68;3808,61;4048,20;;
