"Kod";"Nazwa";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";
3007000;"Powiat kaliski";0;0;0;;
3008000;"Powiat kępiński";0;0;3552;;
3009000;"Powiat kolski";0;2953;3010;;
3010000;"Powiat koniński";0;3227;2752;;
3011000;"Powiat kościański";3349;3363;3525;;
3012000;"Powiat krotoszyński";0;3376;3450;;
3013000;"Powiat leszczyński";0;3174;3410;;
3014000;"Powiat międzychodzki";2636;2500;2583;;
3015000;"Powiat nowotomyski";2554;2905;0;;
3016000;"Powiat obornicki";3592;3590;3707;;
3017000;"Powiat ostrowski";2790;3375;2966;;
3018000;"Powiat ostrzeszowski";3594;2902;3663;;
3019000;"Powiat pilski";3847;3949;4078;;
3020000;"Powiat pleszewski";0;0;0;;
3021000;"Powiat poznański";4114;4243;4333;;
3022000;"Powiat rawicki";3093;3366;3220;;
3023000;"Powiat słupecki";3783;3767;0;;
3024000;"Powiat szamotulski";0;3709;3724;;
3025000;"Powiat średzki";3425;3646;3712;;
3026000;"Powiat śremski";2947;3185;3602;;
3027000;"Powiat turecki";0;0;3436;;
3028000;"Powiat wągrowiecki";3594;3491;3452;;
3029000;"Powiat wolsztyński";0;0;3632;;
3030000;"Powiat wrzesiński";3648;3803;3861;;
3031000;"Powiat złotowski";3245;3234;3207;;
3061000;"Powiat m.Kalisz";3146;3532;2823;;
3062000;"Powiat m.Konin";4019;4148;4318;;
3063000;"Powiat m.Leszno";3604;3899;4284;;
3064000;"Powiat m.Poznań";5901;5920;6055;;
3201000;"Powiat białogardzki";3299;3347;2861;;
3202000;"Powiat choszczeński";2997;3186;2701;;
3203000;"Powiat drawski";0;4105;0;;
3204000;"Powiat goleniowski";3696;0;3499;;
3205000;"Powiat gryficki";2513;3145;3042;;
3206000;"Powiat gryfiński";3765;4588;4381;;
3207000;"Powiat kamieński";6441;5851;6011;;
3208000;"Powiat kołobrzeski";4903;5313;6707;;
3209000;"Powiat koszaliński";8380;8660;8568;;
3210000;"Powiat myśliborski";3163;3647;3485;;
3211000;"Powiat policki";4702;4682;4684;;
3212000;"Powiat pyrzycki";0;0;0;;
3213000;"Powiat sławieński";4442;4401;4762;;
3214000;"Powiat stargardzki";3759;3822;3852;;
3215000;"Powiat szczecinecki";3229;3184;3311;;
3216000;"Powiat świdwiński";0;0;0;;
3217000;"Powiat wałecki";0;0;3631;;
3218000;"Powiat łobeski";0;2344;0;;
3261000;"Powiat m.Koszalin";0;4276;4521;;
3262000;"Powiat m.Szczecin";4725;4626;4884;;
3263000;"Powiat m.Świnoujście";5579;6022;6542;;
