"Kod";"Nazwa";"sektor publiczny - spółki handlowe;2008;[-]";"sektor publiczny - spółki handlowe;2009;[-]";"sektor publiczny - spółki handlowe;2010;[-]";"sektor publiczny - spółki handlowe;2011;[-]";"sektor publiczny - spółki handlowe;2012;[-]";"sektor publiczny - spółki handlowe;2013;[-]";"sektor publiczny - spółki handlowe;2014;[-]";"sektor publiczny - spółki handlowe;2015;[-]";"sektor publiczny - spółki handlowe;2016;[-]";"sektor publiczny - spółki handlowe;2017;[-]";"sektor publiczny - spółki handlowe;2018;[-]";
1608000;"Powiat oleski";0;0;0;0;1;0;0;0;1;0;1;
1609000;"Powiat opolski";1;0;0;0;1;0;1;0;0;0;0;
1611000;"Powiat strzelecki";0;1;0;1;0;0;0;0;0;0;0;
1661000;"Powiat m.Opole";0;0;0;0;1;1;1;0;0;0;0;
1803000;"Powiat dębicki";1;2;1;0;0;1;0;0;0;0;0;
1804000;"Powiat jarosławski";1;0;0;0;0;1;0;0;0;0;0;
1805000;"Powiat jasielski";0;1;1;0;2;0;0;0;0;0;1;
1806000;"Powiat kolbuszowski";0;0;0;0;0;0;0;1;0;0;0;
1808000;"Powiat leżajski";1;0;0;1;1;0;0;0;0;0;0;
1809000;"Powiat lubaczowski";0;0;0;3;0;0;0;0;0;0;0;
1810000;"Powiat łańcucki";0;1;1;0;0;0;0;0;0;0;0;
1811000;"Powiat mielecki";0;0;0;0;3;0;0;0;0;0;0;
1812000;"Powiat niżański";0;0;0;1;0;0;0;0;0;0;0;
1813000;"Powiat przemyski";0;0;0;1;0;0;0;0;0;0;0;
1814000;"Powiat przeworski";1;0;0;0;0;1;0;0;0;0;0;
1815000;"Powiat ropczycko-sędziszowski";0;0;0;0;1;0;1;0;0;0;0;
1816000;"Powiat rzeszowski";1;0;1;0;2;2;0;0;1;0;0;
1817000;"Powiat sanocki";0;0;0;0;1;0;0;0;0;0;0;
1818000;"Powiat stalowowolski";0;0;1;0;0;1;0;0;0;0;0;
1821000;"Powiat leski";0;1;0;1;0;0;0;0;0;0;0;
1861000;"Powiat m.Krosno";1;0;1;0;0;0;0;0;0;1;0;
1862000;"Powiat m.Przemyśl";0;0;0;0;0;0;1;0;0;0;0;
1863000;"Powiat m.Rzeszów";0;0;0;0;0;0;1;0;0;2;0;
2002000;"Powiat białostocki";0;0;2;1;1;0;0;0;0;0;0;
2003000;"Powiat bielski";0;0;0;1;0;1;0;0;0;0;0;
2006000;"Powiat kolneński";0;1;0;0;0;0;0;0;0;0;0;
2007000;"Powiat łomżyński";0;0;0;0;0;0;0;1;0;0;0;
2008000;"Powiat moniecki";0;0;0;0;0;0;0;0;0;1;0;
2009000;"Powiat sejneński";0;0;0;0;1;0;0;0;0;0;0;
2011000;"Powiat sokólski";1;0;0;0;0;0;0;0;0;0;0;
2013000;"Powiat wysokomazowiecki";0;0;1;0;0;0;0;0;0;0;0;
2014000;"Powiat zambrowski";1;0;0;0;0;0;0;0;0;0;0;
2061000;"Powiat m.Białystok";0;0;0;0;1;1;2;0;0;0;0;
2062000;"Powiat m.Łomża";0;0;0;0;0;1;0;1;0;0;0;
2063000;"Powiat m.Suwałki";0;0;0;0;1;0;0;1;0;0;0;
2201000;"Powiat bytowski";1;1;0;0;2;2;0;0;0;0;0;
2202000;"Powiat chojnicki";1;0;0;0;0;1;0;0;0;0;0;
2203000;"Powiat człuchowski";0;0;0;0;1;0;0;0;0;0;0;
2205000;"Powiat kartuski";1;1;1;0;0;1;0;0;0;0;0;
2206000;"Powiat kościerski";0;0;0;0;0;0;1;0;0;0;0;
2208000;"Powiat lęborski";0;1;0;0;0;0;0;0;0;0;0;
2209000;"Powiat malborski";1;1;1;1;0;0;0;0;0;0;0;
2210000;"Powiat nowodworski";1;0;0;0;0;0;0;0;0;0;0;
2211000;"Powiat pucki";1;0;0;1;0;0;1;0;0;0;0;
2212000;"Powiat słupski";1;1;0;0;1;1;0;0;0;0;0;
2213000;"Powiat starogardzki";0;0;1;0;0;0;0;0;0;0;0;
2214000;"Powiat tczewski";1;0;0;0;0;0;0;0;0;0;0;
2215000;"Powiat wejherowski";1;0;0;0;0;1;0;0;0;0;0;
2216000;"Powiat sztumski";0;0;0;1;0;0;0;0;0;0;0;
2261000;"Powiat m.Gdańsk";3;0;1;2;0;2;2;0;0;0;0;
