"Kod";"Nazwa";"sektor prywatny - ogółem;2008;[-]";"sektor prywatny - ogółem;2009;[-]";"sektor prywatny - ogółem;2010;[-]";"sektor prywatny - ogółem;2011;[-]";"sektor prywatny - ogółem;2012;[-]";"sektor prywatny - ogółem;2013;[-]";"sektor prywatny - ogółem;2014;[-]";"sektor prywatny - ogółem;2015;[-]";"sektor prywatny - ogółem;2016;[-]";"sektor prywatny - ogółem;2017;[-]";"sektor prywatny - ogółem;2018;[-]";
3028000;"Powiat wągrowiecki";642;655;667;573;593;680;599;631;520;572;564;
3029000;"Powiat wolsztyński";448;561;514;465;447;453;488;442;372;411;482;
3030000;"Powiat wrzesiński";587;562;847;636;713;654;675;631;587;539;647;
3031000;"Powiat złotowski";470;493;562;470;523;578;484;441;409;445;514;
3061000;"Powiat m.Kalisz";994;1061;1296;994;1148;1017;952;791;766;830;882;
3062000;"Powiat m.Konin";821;820;930;761;843;728;727;567;615;743;731;
3063000;"Powiat m.Leszno";767;756;861;655;765;763;726;636;566;597;585;
3064000;"Powiat m.Poznań";7251;7902;8514;8750;8978;9042;8938;6413;5946;6154;6726;
3201000;"Powiat białogardzki";435;442;548;471;446;521;409;411;418;420;443;
3202000;"Powiat choszczeński";467;455;528;398;427;402;442;409;375;349;409;
3203000;"Powiat drawski";429;432;521;407;425;410;412;412;361;440;450;
3204000;"Powiat goleniowski";908;905;881;792;820;789;806;729;751;757;799;
3205000;"Powiat gryficki";792;779;926;694;765;710;712;738;702;658;690;
3206000;"Powiat gryfiński";893;842;891;883;750;828;823;828;704;768;829;
3207000;"Powiat kamieński";607;606;621;608;533;646;568;600;589;568;594;
3208000;"Powiat kołobrzeski";966;954;1013;1055;1061;978;973;887;900;955;1039;
3209000;"Powiat koszaliński";634;641;697;729;662;708;751;655;645;666;783;
3210000;"Powiat myśliborski";646;709;741;604;593;586;640;553;485;558;622;
3211000;"Powiat policki";869;926;1083;1019;991;911;1024;943;877;889;989;
3212000;"Powiat pyrzycki";435;413;410;370;292;336;345;336;317;334;419;
3213000;"Powiat sławieński";582;559;638;573;520;578;584;493;491;529;614;
3214000;"Powiat stargardzki";1380;1376;1329;1247;1273;1186;1173;1166;1091;1129;1156;
3215000;"Powiat szczecinecki";574;632;744;549;610;566;627;600;495;526;553;
3216000;"Powiat świdwiński";328;375;410;301;365;396;332;312;277;352;359;
3217000;"Powiat wałecki";422;462;482;416;392;422;431;404;330;351;362;
3218000;"Powiat łobeski";386;351;408;298;329;308;307;288;233;247;281;
3261000;"Powiat m.Koszalin";1181;1349;1248;1233;1336;1294;1304;1148;1010;1046;1169;
3262000;"Powiat m.Szczecin";5244;5882;5934;5493;5427;5693;5639;4849;4719;4634;4765;
3263000;"Powiat m.Świnoujście";483;520;510;568;487;488;525;445;410;461;459;
