"Kod";"Nazwa";"rok;wpisane;spółki handlowe;2008;[-]";"rok;wpisane;spółki handlowe;2009;[-]";"rok;wpisane;spółki handlowe;2010;[-]";"rok;wpisane;spółki handlowe;2011;[-]";"rok;wpisane;spółki handlowe;2012;[-]";"rok;wpisane;spółki handlowe;2013;[-]";"rok;wpisane;spółki handlowe;2014;[-]";"rok;wpisane;spółki handlowe;2015;[-]";"rok;wpisane;spółki handlowe;2016;[-]";"rok;wpisane;spółki handlowe;2017;[-]";"rok;wpisane;spółki handlowe;2018;[-]";
0201000;"Powiat bolesławiecki";358;370;373;385;402;431;458;469;503;533;468;
0202000;"Powiat dzierżoniowski";454;467;481;497;513;541;570;577;609;647;539;
0203000;"Powiat głogowski";416;430;443;450;471;496;520;512;525;542;412;
0204000;"Powiat górowski";100;103;102;108;118;120;122;123;128;132;106;
0205000;"Powiat jaworski";185;194;202;205;222;238;250;252;275;303;250;
0206000;"Powiat jeleniogórski";432;455;471;494;503;529;539;540;567;588;434;
0207000;"Powiat kamiennogórski";199;203;209;212;217;223;228;225;233;238;168;
0208000;"Powiat kłodzki";559;587;615;637;671;703;733;747;788;818;683;
0209000;"Powiat legnicki";165;171;175;184;212;233;246;258;272;284;271;
0210000;"Powiat lubański";235;246;255;269;280;295;315;321;329;330;251;
0211000;"Powiat lubiński";431;447;481;498;510;532;556;569;578;596;501;
0212000;"Powiat lwówecki";139;143;150;160;162;169;182;185;188;191;152;
0213000;"Powiat milicki";81;88;93;94;104;116;136;131;126;127;117;
0214000;"Powiat oleśnicki";348;377;398;433;462;486;526;539;604;664;643;
0215000;"Powiat oławski";335;365;385;410;428;451;471;479;532;588;564;
0216000;"Powiat polkowicki";180;193;194;196;205;213;226;231;238;253;207;
0217000;"Powiat strzeliński";171;175;179;186;197;212;227;238;254;278;249;
0218000;"Powiat średzki";215;233;254;277;312;341;356;374;396;424;425;
0219000;"Powiat świdnicki";995;1020;1052;1081;1132;1217;1261;1294;1377;1475;1257;
0220000;"Powiat trzebnicki";297;319;347;377;395;446;470;491;533;577;549;
0221000;"Powiat wałbrzyski";973;989;1027;1049;1079;241;254;255;273;285;224;
0222000;"Powiat wołowski";142;147;152;158;166;176;192;192;205;223;193;
0223000;"Powiat wrocławski";835;942;1071;1170;1341;1503;1674;1763;1956;2142;2193;
0224000;"Powiat ząbkowicki";242;253;273;283;290;319;326;339;345;357;306;
0225000;"Powiat zgorzelecki";362;371;391;397;408;440;458;495;552;591;513;
0226000;"Powiat złotoryjski";178;189;191;194;189;195;202;216;260;255;187;
0261000;"Powiat m.Jelenia Góra";989;1011;1033;1062;1105;1156;1197;1225;1301;1356;963;
0262000;"Powiat m.Legnica";695;737;798;877;956;1032;1104;1144;1222;1313;1174;
0264000;"Powiat m.Wrocław";10946;11564;12594;13651;15043;16797;18572;19191;21331;22905;21641;
0265000;"Powiat m.Wałbrzych od 2013";;;;;;874;912;921;958;979;686;
0401000;"Powiat aleksandrowski";149;153;166;183;193;203;205;208;228;247;212;
0402000;"Powiat brodnicki";166;180;197;197;211;239;246;262;290;308;288;
0403000;"Powiat bydgoski";506;544;587;629;688;769;828;846;936;1012;994;
0404000;"Powiat chełmiński";129;132;143;153;158;163;172;176;181;183;142;
0405000;"Powiat golubsko-dobrzyński";98;98;104;109;113;114;123;129;147;156;151;
0406000;"Powiat grudziądzki";84;112;130;133;144;152;156;163;173;173;163;
0407000;"Powiat inowrocławski";510;515;547;620;646;687;709;725;781;813;697;
0408000;"Powiat lipnowski";114;116;121;123;126;138;152;161;176;190;155;
0409000;"Powiat mogileński";79;83;91;98;104;112;123;125;140;149;150;
0410000;"Powiat nakielski";241;247;250;252;256;272;282;286;307;332;291;
0411000;"Powiat radziejowski";63;63;66;69;70;70;73;75;77;76;69;
0412000;"Powiat rypiński";87;91;99;103;121;128;136;143;151;152;140;
0413000;"Powiat sępoleński";83;85;88;88;90;100;104;110;110;113;105;
0414000;"Powiat świecki";251;261;275;289;313;336;354;371;379;391;358;
0415000;"Powiat toruński";307;333;349;397;429;475;521;535;589;628;604;
0416000;"Powiat tucholski";110;111;114;112;121;129;128;131;136;146;109;
0417000;"Powiat wąbrzeski";59;57;67;78;81;85;92;95;104;115;115;
0418000;"Powiat włocławski";186;197;208;225;242;254;262;265;278;284;230;
0419000;"Powiat żniński";147;153;159;171;179;198;224;226;245;266;254;
0461000;"Powiat m.Bydgoszcz";3535;3641;3786;3909;4120;4339;4614;4759;5113;5456;4446;
0462000;"Powiat m.Grudziądz";419;422;430;442;468;505;529;552;615;644;568;
0463000;"Powiat m.Toruń";2042;2168;2333;2462;2643;2860;3052;3135;3402;3606;3148;
0464000;"Powiat m.Włocławek";798;817;840;860;904;943;975;978;1030;1059;705;
0601000;"Powiat bialski";228;234;257;280;297;333;350;363;398;428;372;
0602000;"Powiat biłgorajski";139;149;170;179;196;210;224;228;243;252;217;
0603000;"Powiat chełmski";95;99;104;107;113;122;125;135;155;163;135;
0604000;"Powiat hrubieszowski";67;73;77;78;81;89;94;98;109;111;95;
0605000;"Powiat janowski";83;90;94;92;98;105;105;107;110;114;94;
0606000;"Powiat krasnostawski";76;84;85;94;96;101;104;101;119;120;100;
