"Kod";"Nazwa";"ogółem;2008;[zł]";"ogółem;2009;[zł]";"ogółem;2010;[zł]";"ogółem;2011;[zł]";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";
1435000;"Powiat wyszkowski";2452,25;2640,99;2782,91;2875,51;3119,46;3138,01;3481,56;3370,96;3512,07;3761,07;;
1436000;"Powiat zwoleński";2403,53;2758,72;2710,90;2915,84;3114,68;3204,57;3350,45;3365,55;3480,17;3733,31;;
1437000;"Powiat żuromiński";2263,09;2517,04;2660,82;2792,74;2923,14;3000,90;3073,81;3181,04;3232,13;3446,49;;
1438000;"Powiat żyrardowski";2967,38;3180,77;3300,90;3487,50;3541,83;3624,61;3924,18;4003,47;4025,65;4254,63;;
1461000;"Powiat m.Ostrołęka";3074,15;3288,00;3390,85;3638,36;3776,11;3912,91;4005,26;4108,75;4349,17;4481,69;;
1462000;"Powiat m.Płock";3816,45;3980,94;4133,50;4428,47;4618,20;4799,33;4926,26;5078,16;5238,34;5474,96;;
1463000;"Powiat m.Radom";2818,40;2998,88;3136,45;3258,68;3411,51;3523,34;3598,94;3743,89;3851,41;4123,36;;
1464000;"Powiat m.Siedlce";2864,61;3056,15;3190,80;3364,77;3470,66;3533,39;3647,76;3752,28;3965,66;4130,35;;
1465000;"Powiat m. st. Warszawa";4504,85;4603,26;4694,47;4936,36;5077,53;5226,05;5385,80;5591,46;5739,61;6059,04;;
1600000;"OPOLSKIE";2873,22;2987,87;3137,29;3249,58;3358,42;3473,40;3632,84;3793,28;3927,04;4144,91;;
1601000;"Powiat brzeski";2618,35;2687,60;2795,69;2962,78;3067,56;3198,10;3400,47;3546,88;3642,69;3858,63;;
1602000;"Powiat głubczycki";2592,27;2750,66;2878,02;3031,11;3111,54;3185,50;3299,08;3354,70;3495,36;3658,51;;
1603000;"Powiat kędzierzyńsko-kozielski";3290,81;3363,79;3518,97;3753,82;3793,84;4010,56;4241,22;4444,99;4627,08;4811,98;;
1604000;"Powiat kluczborski";2634,96;2730,08;2848,38;2994,99;3200,22;3236,92;3381,34;3529,72;3641,66;3939,54;;
1605000;"Powiat krapkowicki";3544,89;3602,56;3798,54;3597,89;3720,00;3881,81;4125,02;4183,01;4270,15;4462,89;;
1606000;"Powiat namysłowski";2548,88;2671,86;2833,22;2974,33;3152,42;3278,50;3446,82;3609,87;3724,71;3905,34;;
1607000;"Powiat nyski";2459,65;2612,02;2733,31;2846,85;3012,34;3117,30;3227,41;3337,24;3440,51;3631,95;;
